Func,Variant,Best,Median,Mean,Std,p_vs_iPWO,iPWO_better
19,iPWO,1908.37241798413,1922.42895997891,1928.95805817049,16.5702362469441,NaN,0
19,SHADE,1911.14216579949,1971.30966939212,1976.80775450244,50.4154284124845,2.6844274014536e-09,1
19,SHADE_ECR_OED,1917.45086042184,1963.11973821063,1970.06917411695,35.0413212131858,8.47458176308153e-11,1
19,PWO,79349.4463159238,910532.986925846,3447262.73701318,17379596.0294617,3.30368150166619e-18,1
20,iPWO,2003.07359278973,2040.16186494077,2072.28848802618,62.841342476097,NaN,0
20,SHADE,2041.498798477,2159.87345281249,2130.4304572404,58.4192614318031,4.38415287394504e-08,1
20,SHADE_ECR_OED,2034.73197038768,2159.18515570547,2121.54571386287,60.5674912581775,6.60330811392461e-07,1
20,PWO,2487.31911376473,3021.52309289156,3046.65989904507,212.69195952566,3.30368150166619e-18,1
21,iPWO,2310.80940845701,2322.2124855576,2321.87137888463,5.0700165092068,NaN,0
21,SHADE,2315.15894172592,2325.89667200985,2325.95076857589,5.33375558607788,0.000370120687528064,1
21,SHADE_ECR_OED,2312.35001034023,2325.43855279462,2325.69893502787,5.30104357391541,0.000859247454541158,1
21,PWO,2459.47099128441,2608.4411183884,2612.41775792226,63.191294740208,3.30368150166619e-18,1
22,iPWO,2300,2300,2300,0,NaN,0
22,SHADE,2300,2300,2353.42903364246,381.559619763802,1.45046048805165e-07,0
22,SHADE_ECR_OED,2300,2300,2352.53208723451,375.154141187211,3.12384145609069e-05,0
22,PWO,2541.08645286268,7723.61772421598,7517.94837913448,1001.57514870214,1.39058869614246e-20,1
23,iPWO,2656.16208683558,2668.78985705992,2669.63905452441,7.62500313531492,NaN,0
23,SHADE,2661.08178225539,2674.54426310582,2675.71064423303,6.24491670119255,2.87760712981186e-05,1
23,SHADE_ECR_OED,2661.86714660327,2675.61416551163,2675.44365592098,6.20578539597002,6.27458707152896e-05,1
23,PWO,3081.22724266815,3357.7090325214,3365.68066401907,143.736321003631,3.30368150166619e-18,1
24,iPWO,2831.64371546219,2841.44991133689,2842.92462594448,6.4970869032032,NaN,0
24,SHADE,2832.7397843735,2843.49164159318,2844.13792024132,5.82696080412953,0.26946444898192,0
24,SHADE_ECR_OED,2833.44596464289,2843.82315854118,2845.22612526143,7.03338098059652,0.0795180505840803,0
24,PWO,3208.40374098715,3514.06804815791,3508.6592996896,143.634301914145,3.30368150166619e-18,1
25,iPWO,2886.77555080746,2887.14478201114,2887.15995633623,0.21159542000426,NaN,0
