Dim,Func,Variant,Best,Median,Mean,Std,p_vs_iPWO,iPWO_better
30,3,noOED,300.000000000001,300.00000001255,300.005346948064,0.0335435039182571,0.30901477144384,0
30,3,noNAS,300,300.000000001473,300.000003923276,2.18474414697182e-05,0.384269323932543,0
30,3,PWO,300.681995637449,305.071049939105,6972.00719188774,17329.1608359629,4.24085038692156e-17,1
30,4,iPWO,400.000000255853,458.561557302385,444.665810336229,26.1288775063667,NaN,0
30,4,noECR,400.000000255853,458.561557302385,444.665810336229,26.1288775063667,1,0
30,4,noOED,400.000001303829,458.561557302385,443.624925086771,26.8313593866517,0.944330557341179,0
30,4,noNAS,400.000011192566,458.561557302385,443.592385815176,26.6365202143336,0.847698630189574,0
30,4,PWO,470.619540851685,744.353705802364,1030.039618322,848.401016909324,1.43217747340998e-18,1
30,5,iPWO,513.935439222303,519.899176104047,520.876681522213,4.3997933429821,NaN,0
30,5,noECR,513.935439222303,519.899176104047,520.876681522213,4.3997933429821,0.997329600883601,0
30,5,noOED,512.621555600845,518.832197893053,518.646223639736,3.15631349593022,0.00706361954965347,0
30,5,noNAS,508.95463151384,519.402801531895,519.464653660987,4.67509601539134,0.28726098295345,0
30,5,PWO,712.932238060641,815.433387997926,810.632500494761,18.6945129507604,3.30296541538692e-18,1
30,6,iPWO,600,600,600.000000016086,8.49721852712253e-08,NaN,0
30,6,noECR,600,600,600.000000016086,8.49721852712253e-08,1,0
30,6,noOED,600,600,600.000000010735,3.71644913624939e-08,0.445303119609615,0
30,6,noNAS,600,600,600.000000024757,1.53623458963091e-07,0.667687306773894,0
30,6,PWO,652.86285144653,664.924675022867,665.270130744071,4.46191965812876,2.78775026550017e-20,1
30,7,iPWO,739.223279925442,750.932336233892,751.109289508025,4.93071230644304,NaN,0
30,7,noECR,739.223279925442,750.932336233892,751.109289508025,4.93071230644304,1,0
30,7,noOED,742.904534187622,750.714998342304,750.902783363577,3.4223845598333,0.814794970388321,0
30,7,noNAS,741.321686471257,751.147006362596,751.76380618856,5.14719446007838,0.634657098045413,0
30,7,PWO,1193.99600755225,1328.63321533635,1321.92073275574,37.1365220376013,3.30368150166619e-18,1
30,8,iPWO,809.950016053781,820.894130123321,820.565550068721,4.85528109321418,NaN,0
30,8,noECR,809.950016053781,820.894130123321,820.565550068721,4.85528109321418,1,0
30,8,noOED,812.87556902338,818.497001946532,818.696095461131,3.26128116379244,0.0127853059451888,0
30,8,noNAS,810.137383791395,820.894136623531,820.843893097976,5.18961775944085,0.745484539349905,0
30,8,PWO,935.340153226739,1023.88624629073,1017.46865214388,22.7713445605224,3.30296541538692e-18,1
30,9,iPWO,900,900,900.012419225871,0.0655095158554414,NaN,0
30,9,noECR,900,900,900.012419225871,0.0655095158554414,1,0
30,9,noOED,900,900,900.003510911781,0.0175510476422522,0.641791684635052,0
30,9,noNAS,900,900,900.010663769981,0.0645950626582315,0.661159604165622,0
30,9,PWO,4022.51112355655,5441.81426562313,5495.49810620908,329.719293641297,3.83658370445237e-20,1
30,10,iPWO,1727.03343107193,2740.27697348475,2651.95041260561,368.979635728899,NaN,0
30,10,noECR,1727.03343107193,2740.27697348475,2651.95041260561,368.979635728899,1,0
30,10,noOED,1948.86249017428,2892.94542666203,2891.44287650851,274.856668596265,0.000539915271960413,1
30,10,noNAS,1645.24837872771,2727.0193061336,2679.91457821204,395.123714605036,0.697885033557254,0
30,10,PWO,4180.03182844802,5403.21753470499,5452.14986255489,667.996034330417,3.30368150166619e-18,1
30,11,iPWO,1104.97479528548,1111.94629356147,1119.8061487991,20.2669496726301,NaN,0
30,11,noECR,1104.97479528547,1111.94629356147,1119.8061487991,20.2669496726302,0.970628701749535,0
30,11,noOED,1101.98991811419,1112.94124758074,1121.61251817836,22.1945323337774,0.917361794350121,0
30,11,noNAS,1104.97479528547,1112.94124758074,1118.74188513138,18.1674481456602,0.943964168613592,0
30,11,PWO,1147.91770281001,1170.14273256039,1293.7656232779,497.338730573366,2.47445383357369e-14,1
30,12,iPWO,1933.6166662251,5835.10979740418,7478.47141255864,5332.70797900577,NaN,0
30,12,noECR,1933.6166662251,5835.10979740418,7478.47141255864,5332.70797900577,1,0
30,12,noOED,1734.54345255211,6290.98076267887,7454.21390506677,5283.95781550253,0.98932030319852,0
30,12,noNAS,2384.29185299386,6024.5537023257,7584.4019727996,5343.1971697108,0.851350311038738,0
30,12,PWO,459329.396787505,6149824.39421733,6924616.64210931,4175381.77017108,3.30368150166619e-18,1
30,13,iPWO,1318.91619902092,1354.72345110158,1367.08450985481,60.0867169494182,NaN,0
30,13,noECR,1318.91619902092,1354.72345110158,1367.08450985301,60.0867169501802,0.994659337403678,0
30,13,noOED,1310.944982476,1349.93280906733,1360.92272308421,44.2824840799954,0.490603759814741,0
30,13,noNAS,1313.94422762341,1343.62390574136,1349.71004439359,30.1802207210881,0.00158334380037905,0
30,13,PWO,21238.9932030917,85347.2055380616,50042371.7930693,286995417.993918,3.30368150166619e-18,1
30,14,iPWO,1425.32780933979,1439.93207045734,1443.0443172181,11.9548410273304,NaN,0
30,14,noECR,1425.32780933979,1439.93207045734,1443.04431721499,11.9548410238877,0.994659579035776,0
30,14,noOED,1413.54711244067,1442.17731420382,1442.88398803921,12.0974397394068,0.951968975229534,0
30,14,noNAS,1426.98783012917,1438.97299520824,1442.30647730197,12.1779815962261,0.742955017949214,0
30,14,PWO,2765.52942157067,18530.6256733404,50530.9839582481,151571.20803409,3.30368150166619e-18,1
30,15,iPWO,1505.11973974276,1526.31686200362,1538.92484294,31.8681474975337,NaN,0
30,15,noECR,1505.11973974276,1526.31686200362,1538.92484294,31.8681474975339,1,0
30,15,noOED,1505.56586567983,1525.27309231269,1533.89285658083,29.4670778362249,0.305842726819483,0
30,15,noNAS,1508.53878828395,1526.70636296523,1531.82714570666,23.5701103386886,0.399071236551769,0
30,15,PWO,10350.9107065753,24188.822715608,32093112.330658,117505456.908578,3.30368150166619e-18,1
30,16,iPWO,1610.57350460275,1889.54078634956,1890.34397751737,146.135686043505,NaN,0
30,16,noECR,1610.57350460275,1889.54078634956,1890.34397751737,146.135686043505,1,0
30,16,noOED,1626.68206931419,1884.61514403431,1896.19031580922,140.020986125841,0.888227935571632,0
30,16,noNAS,1611.13639738917,1870.50789382214,1882.89281760457,135.93217220307,0.73790016249378,0
30,16,PWO,2418.51299370368,3486.65247619135,3427.3457315833,464.707232995675,3.30368150166619e-18,1
30,17,iPWO,1705.61745111934,1734.16762299078,1738.20667299623,22.923573605582,NaN,0
30,17,noECR,1705.61745111934,1734.16762299078,1738.20667299623,22.923573605582,1,0
30,17,noOED,1718.58178268436,1743.2059781509,1748.50284235394,27.6735472579038,0.00259773540776876,1
30,17,noNAS,1709.34382243348,1736.2458793302,1740.66460012498,24.4373337834147,0.406597750459638,0
30,17,PWO,2105.89963797349,2718.69178468765,2706.44699092343,275.064633332282,3.30368150166619e-18,1
30,18,iPWO,1829.99156989218,1973.77532226323,10913.5967281555,23822.4014834129,NaN,0
30,18,noECR,1829.99156989218,1973.77532226323,10913.5977605679,23822.4010914804,1,0
30,18,noOED,1841.16133742171,2077.09079558909,13752.5278058306,26455.3744738417,0.0996801974068699,0
30,18,noNAS,1838.56105523316,2111.06465771185,11416.4629080473,25083.4956260006,0.125367050071938,0
30,18,PWO,52513.178805162,219428.619765598,921832.793110195,3901345.78273252,2.53366027673535e-17,1
30,19,iPWO,1910.14723545185,1923.64254409766,1931.83201432484,20.7916158585238,NaN,0
30,19,noECR,1910.14723545145,1923.64254409766,1931.86814969625,20.7885651299003,0.997329736810858,0
30,19,noOED,1910.35526585268,1920.57142202579,1929.02402346288,20.3516577117695,0.338538410136755,0
30,19,noNAS,1909.20101965356,1925.93771231437,1931.56501495099,20.4710032444444,0.925349136293004,0
30,19,PWO,20019.1997940311,989362.354442525,4493206.50108018,19919159.369635,3.30368150166619e-18,1
30,20,iPWO,2002.40279925362,2027.63898086464,2054.68844343391,54.72820893547,NaN,0
30,20,noECR,2002.40279925362,2027.63898086464,2054.68844343391,54.72820893547,1,0
30,20,noOED,2008.24424238853,2043.38692959197,2068.23321615516,55.0155862643013,0.00122678791727041,1
30,20,noNAS,2003.09688607541,2032.59929266019,2072.62837194774,64.7737441111551,0.112700379261979,0
30,20,PWO,2478.07831456984,2963.40997191957,3001.18469820237,229.959598025913,3.30368150166619e-18,1
30,21,iPWO,2311.40709359883,2323.68016389688,2323.26678894165,4.92582115940704,NaN,0
30,21,noECR,2311.40709359883,2323.68016389688,2323.26678894165,4.92582115940704,1,0
30,21,noOED,2310.05723822836,2321.62300495012,2321.43452332291,4.2168815319438,0.0761347265334101,0
30,21,noNAS,2308.65050012383,2322.4198980859,2321.90605292708,6.13541429593943,0.366252370410418,0
30,21,PWO,2465.24255740825,2600.77613034058,2612.62368308997,70.6030183469854,3.30368150166619e-18,1
30,22,iPWO,2300,2300,2300,0,NaN,0
30,22,noECR,2300,2300,2300,0,NaN,0
30,22,noOED,2300,2300,2300,0,NaN,0
30,22,noNAS,2300,2300,2334.70252877524,247.825625537852,0.326892579781518,0
30,22,PWO,2502.98662525588,7911.7079057562,7523.23339387975,1012.54485679293,1.39058869614246e-20,1
30,23,iPWO,2652.84245739337,2670.3091731041,2669.72094111544,6.87775145119314,NaN,0
30,23,noECR,2652.84245739337,2670.3091731041,2669.72094111544,6.87775145119314,1,0
30,23,noOED,2654.59970831095,2668.29651869359,2667.74776631209,4.99685370531676,0.0656956682463542,0
30,23,noNAS,2657.2057974076,2669.75726714264,2669.49525149073,6.99700510957287,0.573988333869026,0
30,23,PWO,3080.59713642118,3383.72462379254,3404.94004417508,161.145741596317,3.30368150166619e-18,1
30,24,iPWO,2832.59643806475,2845.02805078018,2845.09541445229,6.64777843336114,NaN,0
30,24,noECR,2832.59643806475,2845.02805078018,2845.09541445229,6.64777843336113,1,0
30,24,noOED,2833.64510843197,2839.21378469082,2839.49610019137,3.64708343196818,5.0086185718732e-06,0
30,24,noNAS,2829.23663932278,2843.08761060393,2843.36910763009,7.77004061107455,0.215660129038674,0
30,24,PWO,3256.44116164308,3587.94919679902,3575.8969972408,125.332103525136,3.30368150166619e-18,1
30,25,iPWO,2886.70999775181,2887.07877807615,2887.07792989978,0.202858508498158,NaN,0
30,25,noECR,2886.70999775181,2887.07877807615,2887.07792989978,0.202858508498146,0.99465930719736,0
30,25,noOED,2886.69186168996,2887.09111544013,2887.06844687699,0.187650963520161,0.909415089594158,0
